#elem  ion  wave                  correction(aperture/stacked)
La     2    4717.759567724955     1.0
Mg     1    4731.351766619823     1.000537703524098
Fe     1    4734.916110486742     1.0148471121886629
Mn     1    4740.415566878147     1.0214644618858228
Fe     1    4742.8552129917925    1.0172427699835036
Fe     1    4747.1273444713015    1.0204145133247107
Ti     1    4759.448408090701     1.0473232861618553
Ti     1    4760.600613316287     1.0435368308745998
Mn     1    4762.837505895204     1.0273719181920333
Ti     2    4765.857005824366     1.015662331284465
Fe     1    4780.775258460967     1.01936702894798
V      1    4785.804091043368     1.0
Fe     1    4789.165481822721     1.0328251329348637
Fe     1    4790.095328242028     1.0181624166230714
Cr     1    4790.673881566418     0.9738829526853392
Ti     2    4799.872619512944     1.0084741637360066
Cr     1    4802.366680566258     0.9754013809339939
Fe     1    4804.222172380227     1.0103604645157267
Fe     1    4809.491669170637     0.9848367013599125
Zn     1    4811.881502677758     1.0254292282554738
Ti     1    4821.756520598129     1.018757697401227
Ni     1    4832.529977081299     1.0191770909945344
Sm     2    4838.011430590429     1.0
Ti     1    4842.232549968105     1.0161532015318155
Fe     1    4845.367381317484     1.0095322031094875
Cr     2    4849.590501330725     1.0182770687196354
Ti     2    4850.522548526964     0.9966898631724193
Y      2    4856.217358959939     1.0062602286080833
Ti     2    4866.969511046126     1.0269467306471478
Ni     1    4867.629286068777     1.0225516884889168
Ti     2    4875.370739800553     0.9975422755646458
Fe     1    4877.238835417714     0.9975091828878863
Fe     1    4883.50749861639      1.0040867831870985
Y      2    4885.046006832402     1.0147968497124902
Cr     2    4885.974153103399     1.0010967920005367
Fe     1    4892.120884126167     1.013504165787229
Fe     1    4892.858079747847     1.0160953939170836
Fe     1    5653.03740205537      1.0
Fe     1    5653.886328981642     1.0
Sc     2    5659.466220575779     1.0015137019779308
Fe     1    5664.0875559795395    0.9935800372102804
Si     1    5667.126768463639     1.0183134365026192
Sc     2    5668.721694848641     0.9709540943228697
Fe     1    5669.090793523595     0.9987117349788147
Sc     2    5670.628204538431     1.016248112893926
Fe     1    5680.598770204794     1.0134479493864237
Na     1    5684.210135764635     1.0031315720360463
Na     1    5689.783325901822     1.0146607742234668
Si     1    5692.003919652215     1.0156398292889117
Fe     1    5703.126093684245     1.0026332653073795
Mg     1    5712.67244653875      1.0183447341681136
Fe     1    5733.351777140469     1.009969194760092
Mo     1    5753.003233598317     1.0
Fe     1    5754.725694364557     1.0071588916849412
Ni     1    5756.266106436666     1.015406591900227
Si     1    5773.7487834999965    1.0210655189542435
Fe     1    5776.682068284723     1.0197425759051661
Cr     1    5785.46991952334      1.0219463500389014
Cr     1    5789.524004264603     1.0159820246233862
Si     1    5794.678983613339     1.0238045726231089
Fe     1    5808.334937855258     1.0193546217813743
Fe     1    5810.828105047002     1.020165789037453
Fe     1    5853.842217745841     1.0273851769865263
Ca     1    5859.074618420989     1.0177032480126653
Fe     1    5861.214191182892     1.0170842576611188
Fe     1    5863.984932920292     1.0196838437576068
Ti     1    5868.077328493994     1.0
Ca     1    5869.1883259238175    1.0
Ca     1    5869.196328066112     1.0
Fe     1    6483.660928685685     1.0
Ca     1    6495.575329443239     1.0142487166916023
Fe     1    6496.775051753972     1.0109621773992572
Fe     1    6500.734015360068     1.0087164563735076
Fe     2    6517.876921161999     1.0193294673875088
Fe     1    6520.16663637006      1.0086173629049464
Fe     1    6548.046527753324     1.0195822125887097
Ni     1    6588.128999672801     1.0220028405112032
Fe     1    6594.73337474588      1.0160238876495828
Fe     1    6595.690732061377     1.0212746495170504
Fe     1    6599.381424044337     1.0225264208833034
Sc     2    6606.425117291336     1.021685347554431
Fe     1    6610.935029524423     1.0122432186404693
Fe     1    6629.374086067407     1.0223290090807204
Ni     1    6645.484617017192     1.0189792355614347
Fe     1    6679.82895072668      1.019495996855464
Al     1    6697.87170219246      1.0182225631608723
Al     1    6700.522414966865     1.001654742927129
Fe     1    6705.416731065437     1.018214240417615
Cr     1    6723.703748749681     1.018788733771579
Fe     1    6727.2123923259205    1.0
Fe     1    6735.0089891072275    1.0
Si     1    7682.383915272238     1.0048706015477664
Mg     1    7693.666959557328     1.0056967057748134
K      1    7701.083260605108     1.0059802396261677
Fe     1    7712.487037622347     1.0065285165259255
Fe     2    7713.842803447365     1.0067668707963553
Ni     1    7717.714448136995     1.007187021800453
Fe     1    7750.401268486927     0.9952286609549402
Ni     1    7751.022436112898     0.9915405511569849
Fe     1    7753.243035357763     1.0095443417573815
O      1    7774.082659254023     1.011350032275828
O      1    7776.305259075406     1.0122947065390377
O      1    7777.52758895167      1.0119521230634267
Ni     1    7791.07324465637      1.0109671235812379
Ni     1    7799.72557981853      1.0100434928572037
Rb     1    7802.205249061444     1.0122528865365021
Al     1    7837.464765789455     1.009721032234266
Al     1    7838.289988531767     1.0109110302531172
