#Elem Ion   Wave   a1(dT)         a1goodness      a2(dT^2)       a2goodness     b1(dlogg)        b1goodness       b2(dlogg^2)    b2goodness      c1(dFe_H)      c1goodness	 c2(dFe_H^2)    c2goodness       d1(mixed)           d1goodness	          off            offgoodness   EW_std
Al    1     6697.8 0.074343840069 0.003480315097 -0.000004413566 0.000000300320 -123.156677311835 4.391799779155 14.946040150813 0.520692952260 29.035979766219 3.467319764897 -18.151907365055 0.563172462558 -367822.483099959150 19815.771120319274 -29.786120702279 11.790694256149 0.668559580859
Al    1     6700.5 0.070138502363 0.002457909678 -0.000004856250 0.000000212095 -77.498472858343 3.101632583099 9.396379181575 0.367730380363 39.422764912266 2.448732581419 -13.702287235229 0.397730498211 -342954.500237423053 13994.534024169419 -84.415834451677 8.326969535883 0.472158350653
Al    1     7837.4 0.063418350927 0.004644360011 -0.000003867573 0.000000400766 -155.592144218190 5.860709956478 18.590157058900 0.694847335542 17.418737787033 4.627020725496 -24.653715714649 0.751534423366 -305088.561805343663 26443.475245319900 87.003005591675 15.734282716439 0.892169865446
Al    1     7838.2 0.040311852800 0.005178864208 -0.000001686911 0.000000446889 -190.986574387420 6.535194265838 22.781389098746 0.774814382808 -9.189960771997 5.159518806578 -25.760998369106 0.838025220317 -184763.516581888864 29486.706938216659 222.093148865342 17.545058380130 0.994845986359
#Ba    2     5855.3 -0.099005351526 0.006208716577 0.000008331138 0.000000535756 166.498097153434 7.834759728954 -18.880780360380 0.928891204154 51.177109111738 6.185533031879 18.210946288815 1.004672586009 -369241.241098738217 35350.390659369208 -74.591317878500 21.034038592633 1.192678333365
#Ba    2     6498.6 -0.062512405548 0.006477708515 0.000005228346 0.000000558968 250.763782864113 8.174205959054 -29.104787816565 0.969136046457 65.820379695278 6.453520575968 20.878892197332 1.048200169019 -497810.067339602741 36881.941888946225 -354.237724752144 21.945346440277 1.244351142421
#C     1     6589.4 0.001784638145 0.002520763278 -0.000001079593 0.000000217519 -17.038014446228 3.180952137482 2.540973235759 0.377134533648 -99.743866682727 2.511353733653 -6.418567675449 0.407901737630 511334.359881513636 14352.415393622503 51.261135282254 8.539907062916 0.484232969030
Ca    1     5859.0 0.169502936463 0.007504689563 -0.000011837808 0.000000648423 20.882772202170 9.310448172104 -3.561709445224 1.103040351618 -16.609555620003 7.553047329250 -9.906292157587 1.190434379450 -150577.020979953581 43157.096588156826 -607.362162738049 25.224770594860 1.381440781361
Ca    1     6495.5 0.191262335657 0.008459023641 -0.000014335061 0.000000729938 67.538415132246 10.674423602454 -8.943229785227 1.265562539174 24.238067941358 8.427426266652 -5.328077456975 1.368807232934 -295210.943156342313 48162.834770515277 -749.934118500959 28.657675413287 1.624955714720
Ca    1     6501.4 0.060300737295 0.004201308238 -0.000003597401 0.000000362535 22.358552636168 5.301626292186 -2.883740877817 0.628562223622 -26.003672698427 4.185629755198 -2.367960401232 0.679841952895 16583.016937590215 23920.917680213111 -270.594835987917 14.233278588002 0.807061522415
#Ca    1     6574.6 0.293516220469 0.002383522201 -0.000023314244 0.000000205677 -2.688376257391 3.007700182547 0.040399376102 0.356592955146 84.562130566655 2.374590880891 -7.695166476335 0.385684143104 -597542.364072502474 13570.822855431119 -907.098767277671 8.074651520064 0.457862999643
#Co    1     4794.1 0.030094680970 0.003597164376 -0.000001394610 0.000000310403 -67.251982012056 4.539253670011 8.331584874716 0.538175119724 -7.024868176687 3.583732886376 -12.221456044033 0.582080703931 -100409.793138281588 20481.073396831966 8.255006004228 12.186561042954 0.691006169537
Co    1     4814.8 0.004187092980 0.003781446519 0.000001338844 0.000000326305 -73.822604142741 4.771788805464 9.034143601115 0.565744564759 11.523213380014 3.767322313399 -11.953401749659 0.611899411809 -224849.338125639653 21530.289222262138 81.420153872579 12.810881989084 0.726404784898
#Cr    1     4732.0 0.041116347879 0.002511677777 -0.000002087557 0.000000216735 -47.233343262809 3.169478737568 5.518161829836 0.375774240144 9.410669503634 2.502299193992 -5.253211181190 0.406430857053 -250596.107845920284 14300.667950914141 -66.342737433008 8.509122560352 0.482486661880
#Cr    1     4769.1 0.065931806616 0.002166644744 -0.000004643413 0.000000186962 -32.293280295463 2.734081901600 3.848939922579 0.324153480194 54.526227555428 2.158553704568 -9.044568702834 0.350598738826 -417389.683929283405 12336.158603562113 -158.212212638181 7.340208157424 0.416206695952
#Cr    1     4776.4 0.014755026669 0.001427034968 -0.000000936747 0.000000123140 -18.119410040179 1.800772837666 2.138074147204 0.213500107349 34.541207232355 1.421706494686 -5.116068911303 0.230917848305 -239598.460063183476 8125.068414273840 -15.566553124178 4.834546657230 0.274129766869
Cr    1     4790.6 0.097568174918 0.002730020353 -0.000006921294 0.000000235576 29.730908488739 3.445003742619 -3.490539145068 0.408440561313 -23.470250229694 2.719826731062 5.674980800722 0.441762809641 -22163.148740587909 15543.839808403734 -396.152950789001 9.248837905460 0.524430016071
Cr    1     4802.3 0.042434358020 0.002055553534 -0.000002567300 0.000000177376 -8.337201945924 2.593894695428 1.009156579889 0.307532837040 -20.662450358130 2.047879858309 0.237465149401 0.332622550083 -23202.564921590107 11703.656111112105 -141.545345054251 6.963846747543 0.394865857114
Cr    2     4849.5 0.010922921055 0.004958723474 -0.000000695851 0.000000427893 26.798785256506 6.257409544322 -2.145790505494 0.741880127182 65.305725132482 4.940211102775 -0.400336171809 0.802403780626 -530496.160981071414 28233.361072299896 -117.704894764722 16.799300660484 0.952559196418
Cr    2     4885.9 -0.061208306545 0.004717792032 0.000005106517 0.000000407103 -23.279543170019 5.953365307991 3.574093101788 0.705832576252 -36.787336269374 4.700177228519 -6.893802176709 0.763416415364 74538.638712136701 26861.566170035345 216.087071447403 15.983038538629 0.906275607560
Cr    1     5782.7 0.116607664879 0.002973580593 -0.000008997449 0.000000256593 14.846135932286 3.752362541126 -1.534412130738 0.444881131651 79.502837615786 2.962479905780 -10.035001295863 0.481174939014 -604259.584052357939 16930.605082186623 -411.232974560523 10.073987240821 0.571217589292
#Cr    1     5784.6 0.077528369272 0.001413324300 -0.000005483511 0.000000121957 -9.336206888527 1.783466224013 0.942270494271 0.211448223801 49.695559014719 1.408046802432 -6.540106597573 0.228699108699 -413022.970135315845 8047.003358119331 -241.874721240795 4.788087332993 0.271495989140
#Cr    1     5785.4 0.077703940643 0.002497132266 -0.000005106508 0.000000215480 -22.554840698909 3.151122757818 2.567003519795 0.373597953155 50.945478767044 2.487807845233 -5.846281962669 0.404077128787 -453721.252697259246 14217.849923396936 -228.230342234070 8.459839891866 0.479692643700
Cr    1     5789.5 0.059181040374 0.001987476716 -0.000003783194 0.000000171501 -4.962887329969 2.507985249201 0.330603674935 0.297347409260 16.975107240301 1.980053821919 -1.750981763337 0.321606403647 -234070.380837778823 11316.029866192823 -200.579023971499 6.733198494476 0.381788752028
#Cr    1     6662.9 0.027845674960 0.001443522766 -0.000001736165 0.000000124563 -16.508074763304 1.821577626085 1.957654361398 0.215966725856 45.969665763243 1.438132607501 -9.479665890950 0.233585878656 -357218.604671354697 8218.943863844463 -68.312767389182 4.890401701522 0.277297045400
Cr    1     6723.7 -0.112551691546 0.003489040527 0.000010040975 0.000000301073 -106.176338019159 4.402810999825 13.025846308285 0.521998447450 -46.059918190940 3.476011789563 -14.146777187809 0.564584190581 97772.274824120526 19865.445512015445 530.008513837874 11.820251326044 0.670235173210
Fe    1     4734.9 0.051601279898 0.004430509637 -0.000002226089 0.000000382313 29.162282890942 5.590844934918 -3.375709555579 0.662852070249 38.426068667933 4.413963873900 -4.061566494113 0.716929158250 -375750.029053556849 25225.853543295296 -287.099631609532 15.009784948102 0.851089339042
Fe    1     4742.8 -0.025056910343 0.003172200036 0.000003381413 0.000000273732 25.844312763097 4.002989966488 -3.116364039975 0.474595563420 -24.780668586580 3.160354821183 4.654099369469 0.513314334987 40444.895511569819 18061.462949790352 -21.786588605252 10.746857691599 0.609371411630
Fe    1     4747.1 -0.019975766333 0.002930871233 0.000003030383 0.000000252908 14.067591602400 3.698458822403 -1.658718974895 0.438490264681 -8.645962069656 2.919926461182 3.992533191026 0.474263300010 -78068.118212387009 16687.412344746492 -15.962596739050 9.929280928701 0.563012681515
Fe    1     4780.7 0.047766047929 0.002835196790 -0.000002841379 0.000000244652 -25.617507431355 3.577726494840 3.178037295621 0.424176206528 19.085617976299 2.824609196725 -0.304537770477 0.458780760442 -227050.009607002372 16142.672838345470 -130.216100003945 9.605142341940 0.544633900577
Fe    1     4789.1 0.032883346466 0.002795660830 -0.000001293001 0.000000241240 -17.012188959351 3.527838444886 2.007993647178 0.418261471433 34.956411591039 2.785222754263 -2.681609798019 0.452384204026 -331432.685104365577 15917.579208743056 -111.004829141301 9.471211652679 0.537039313825
Fe    1     4790.0 -0.046979631665 0.002819603189 0.000005194781 0.000000243306 -5.023413462222 3.558049277974 0.703448880620 0.421843275644 -28.111500162637 2.809074993028 5.203596157804 0.456258405834 55945.945915377386 16053.894855629665 106.184932162449 9.552320386831 0.541638449521
Fe    1     4804.2 -0.081367319000 0.002823302700 0.000007837458 0.000000243626 -10.906088809991 3.562717553633 1.445058115376 0.422396744201 -39.793214091602 2.812760603198 2.848007092030 0.456857036703 111352.044354482496 16074.958174589518 228.350422578868 9.564853961063 0.542349241521
Fe    1     4809.4 0.032504075284 0.003041409142 -0.000001803504 0.000000262446 -22.810686737135 3.837946957556 2.761732009591 0.455028016872 16.510492884449 3.030051516235 -3.742502217686 0.492149927854 -200109.426233850274 17316.778327893553 -80.462268033584 10.303758116692 0.584246570253
Fe    1     4845.3 0.022140503000 0.004051561233 -0.000000260298 0.000000349613 -19.018485813459 5.112655036184 2.463328092149 0.606157750653 34.495427850787 4.036434829215 -2.702626231328 0.655610255878 -347669.727082445403 23068.269637516612 -83.757645919720 13.725979907025 0.778294677690
Fe    1     4877.2 0.044465376120 0.003259695544 -0.000002231450 0.000000281282 14.907207117413 4.113404332131 -1.920998922264 0.487686314487 -14.981522425658 3.247527513797 5.555953980777 0.527473005990 -42443.774855080177 18559.655666625884 -210.963265836127 11.043282891458 0.626179593693
Fe    1     4883.5 0.026153467305 0.003037183700 -0.000000560111 0.000000262082 15.471591884834 3.832616628042 -2.043773342524 0.454396068423 -6.239959849552 3.025829730552 0.176036950669 0.491463624050 -123264.994783831295 17292.653365805789 -161.163577236878 10.289459949464 0.583435841066
Fe    1     4892.1 0.128767272363 0.007476569720 -0.000006526574 0.000000654392 -0.273951634101 7.814400268862 -2.473960990227 0.922593151680 -59.396841836909 7.088397603200 1.472607447070 1.039215885110 68699.572038649785 40264.544428045469 -476.549210317359 24.269152185007 1.025280674350
Fe    1     4892.8 -0.009877750793 0.009445630328 0.000006028528 0.000000831938 -63.549379236164 8.942723181395 4.673179657032 1.054297842788 -121.928111718940 8.284930386126 4.543151677261 1.171931104069 440990.102194658655 46949.867375206872 46.190001055777 30.441371872587 1.116514113448
Fe    1     5664.0 0.099443615521 0.003588938941 -0.000006908643 0.000000309693 45.406168330862 4.528869250837 -5.777735451055 0.536943947263 4.282296472326 3.575539478792 -0.426940247718 0.580751653064 -215355.562024450366 20434.243107746697 -431.720947340049 12.158682184819 0.689426037508
Fe    1     5669.0 0.000554605463 0.003377949613 0.000001215324 0.000000291487 -34.642863813068 4.262640318566 4.509457233754 0.505379763339 3.278251585172 3.365341248759 -5.404957942843 0.546610065167 -210927.295333257236 19232.963087734821 21.589734565632 11.443903855747 0.648897432747
Fe    1     5680.5 -0.021761287168 0.001695698590 0.000002910003 0.000000146324 -19.174913044431 2.139797783275 2.070988927444 0.253694993561 -6.001248662141 1.689367883483 2.977216010174 0.274392181443 -103457.837976019073 9654.755718348320 73.073744910598 5.744726966513 0.325739277777
Fe    1     5703.1 0.030030175568 0.003236729590 -0.000000743246 0.000000279301 14.572338618050 4.084425188391 -1.799497339880 0.484250548454 -13.107683353619 3.224645553898 -1.364418226815 0.523756453200 -86329.884456508444 18428.886106422771 -178.134804710575 10.965465211763 0.621768000878
Fe    1     5733.3 -0.005644996682 0.001854915746 0.000001687935 0.000000160063 -20.233413249076 2.340715134324 2.335070256296 0.277515808949 -6.643798787327 1.847990457971 1.885438885152 0.300156096083 -103719.260131493676 10561.286129095168 20.121863888525 6.284130892193 0.356324658936
Fe    1     5754.7 0.014717727404 0.002040378038 0.000000050819 0.000000176066 -5.746885282752 2.574734725722 0.380116385522 0.305261238772 -9.408884859141 2.032758370727 -0.767625354879 0.330165410103 -114497.675068808516 11617.237576639060 -69.317022686870 6.912443021928 0.391949766870
Fe    1     5776.6 -0.023630224098 0.001914322092 0.000003174343 0.000000165189 -19.005359911512 2.415677688860 2.151298127510 0.286403386333 -9.682993546942 1.907174743937 1.820453051842 0.309769017735 -85502.402316437976 10899.524940294918 72.660710177268 6.485387246585 0.367736331144
Fe    1     5808.3 -0.026430401719 0.002310134880 0.000003325742 0.000000199344 -31.302837726930 2.915151422642 3.712459795809 0.345621131695 2.023311632602 2.301509931486 -0.887675955285 0.373817960558 -165971.857487020519 13153.154960302325 107.477414838745 7.826325560760 0.443770818435
Fe    1     5810.8 0.010921500526 0.002443883301 0.000000515629 0.000000210885 -22.874552908437 3.083927984513 2.678384051916 0.365631323530 31.969685474908 2.434756964010 -2.435629473668 0.395460481018 -344006.217091326078 13914.663329403400 -31.858161792702 8.279446046779 0.469463324407
Fe    1     5853.8 -0.002308561297 0.002746458192 0.000001251624 0.000000236995 -29.240635469327 3.465750619048 3.512995220343 0.410900321694 23.568993929177 2.736204815652 -2.000215014761 0.444422544277 -264720.320965950028 15637.440236602093 32.533205981996 9.304522715910 0.527587864732
Fe    1     5861.2 -0.028607515946 0.002426774547 0.000003568007 0.000000209409 -7.812895959580 3.062332743088 0.724367234496 0.363070975531 2.389018535592 2.417693711138 0.016043774444 0.392688942190 -173245.760675600381 13817.151529161078 66.164073545267 8.221405885129 0.466179015793
Fe    1     5863.9 -0.021830136577 0.002604229082 0.000003049275 0.000000224722 3.552444262451 3.286271863647 -0.797271489061 0.389621274334 0.801864695739 2.594503752935 -1.816168969613 0.421407450444 -173615.031046439050 14827.617660570755 24.459618009235 8.822679550210 0.500265699123
Fe    1     6496.7 0.285170418257 0.006332671586 -0.000021096106 0.000000548167 70.967576017669 7.601699886659 -9.746755723313 0.900229833017 86.813292957295 6.247638929614 -7.885398576413 0.962866187133 -729553.364804761135 35683.644471547399 -1064.493528718436 20.978467271544 1.111214222869
Fe    1     6500.7 0.071161776571 0.004450463987 -0.000004052337 0.000000384035 -3.838961598764 5.616045182735 0.568639678254 0.665839809554 20.527419063431 4.433848231768 -2.464049851570 0.720157971408 -245940.517165180150 25339.492527291193 -269.243824302591 15.077432988454 0.854922870639
Fe    2     6517.8 -0.136984852807 0.004329538735 0.000010983750 0.000000373600 17.070131972418 5.463424533541 -0.851907783810 0.647745108336 -20.736190559751 4.313365952884 3.563209646196 0.700590285468 13562.414952777206 24650.938237325903 366.385332368550 14.667687613898 0.831693086006
Fe    1     6520.1 -0.043328999297 0.003751083551 0.000005204926 0.000000323685 -30.491188065248 4.733479527150 3.788069788505 0.561202592937 -34.120506346819 3.737075455087 -2.965558442642 0.606987516823 32028.031753809708 21357.425903062940 138.261904423233 12.708010493690 0.720573237173
Fe    1     6548.0 0.096327397265 0.004765015554 -0.000006382476 0.000000411178 53.145814386312 6.012961710927 -6.790920052766 0.712898345875 21.628348157097 4.747221729237 -3.477362347776 0.771058168081 -277039.853545393620 27130.424414464411 -445.221164564397 16.143033776555 0.915347511158
Fe    1     6594.7 0.099323767976 0.004151357106 -0.000006140546 0.000000358248 51.444822891805 5.222219902426 -6.613970353957 0.619129831623 41.561293887200 4.130721237437 -7.667398871339 0.669554626377 -441406.254204957804 23606.927370368448 -466.686104413841 14.025869308355 0.794341989675
Fe    1     6595.6 0.008922393877 0.003481526186 0.000001207200 0.000000300424 15.695045819438 4.393329650169 -1.950183446148 0.520874324205 -1.000381164754 3.468551848828 -1.334515778171 0.563370499797 -150534.989684014901 19822.809990416219 -123.230800646416 11.794769047365 0.668792132566
Fe    1     6599.3 -0.028232418802 0.002347793117 0.000003299977 0.000000202593 -24.241847111867 2.962673365552 2.843498819283 0.351255339827 5.636462547295 2.339025741337 -0.800857901396 0.379911666954 -162028.878652382467 13367.558199606156 105.183759521506 7.953905217786 0.451004812422
Fe    1     6610.9 -0.005310314919 0.003999415360 0.000002421111 0.000000345114 -22.077834399974 5.046850546803 2.664924249242 0.598355944300 6.117757935682 3.984478375729 -2.410043122803 0.647171185752 -203371.832576544315 22771.338754635726 -3.597936932378 13.549316848826 0.768276961766
Fe    1     6629.3 -0.005149926922 0.002498547648 0.000001208697 0.000000215602 -31.223381887577 3.152909359904 3.812883821758 0.373809770164 26.872924585730 2.489217773168 -5.861678452613 0.404306074268 -266642.949709502805 14225.907493831604 53.454051149935 8.464636229455 0.479964348221
Fe    1     6679.8 0.171853014370 0.004859231970 -0.000012063447 0.000000419368 84.472515039605 6.099443558267 -10.897134469891 0.723105242759 72.562342208104 4.820837922734 -7.787894968945 0.781313664026 -619323.225778656080 27550.460639713889 -750.575653328747 16.372904034294 0.926796188506
Fe    1     6705.4 0.022806954676 0.003515916239 -0.000000477148 0.000000303392 -22.932580697727 4.436733792017 2.840659973514 0.526020348134 38.246286258651 3.502792547733 -4.268249040989 0.568934075448 -342416.682436054805 20018.498039408747 -69.365100962847 11.911317823553 0.675399518606
Fe    1     6727.2 0.007941809645 0.002299437700 -0.000000025512 0.000000198421 -21.612153809485 2.901638200633 2.636694276215 0.344019006436 39.886912228832 2.290837328961 -4.964963617207 0.372085242071 -308246.101628822624 13092.159851154385 -0.829476264169 7.790056324474 0.441713100503
Fe    1     7712.4 -0.009927745546 0.002230597090 0.000002337794 0.000000192480 -25.543516073129 2.814783214503 2.777614708749 0.333721449988 11.989423699641 2.222267322482 -0.438552520527 0.360947214724 -240081.238649127015 12700.282696475830 38.372840749375 7.556872795650 0.428491731962
Fe    2     7713.8 -0.134189172383 0.004228945521 0.000010270109 0.000000364920 49.811278392434 5.336493891165 -4.719052131173 0.632696141416 -45.071081580749 4.213153705481 4.841903009885 0.684313021862 158405.020932755200 24078.220422075578 304.387070063958 14.326922565730 0.812369559378
Fe    1     7750.4 0.080984068959 0.003364212795 -0.000004852497 0.000000290311 31.967364529848 4.235062879094 -4.088773345671 0.502109415093 5.713307059564 3.354509068595 -5.410944665163 0.543729296104 -236089.014564249781 19171.515818759617 -367.157703475127 11.383254009756 0.644639340896
Fe    1     7753.2 -0.037057421053 0.002782146366 0.000004179069 0.000000240074 -30.935792219452 3.510781126726 3.683691889237 0.416239144531 21.008703833633 2.771756901881 -2.678557401143 0.450196958682 -267172.600900774822 15840.621967857758 139.527259619863 9.425421069597 0.534442816006
#Li    1     6709.6 -0.273853590763 0.030459518257 0.000022943063 0.000002628382 -48.606375706871 38.436803717900 5.826128884089 4.557077632631 87.216166287406 30.345773917696 15.506718795055 4.928849531173 -527301.237184672966 173426.438517929957 907.992513785985 103.191504110714 5.851194441492
Mg    1     4731.3 0.036931340771 0.003790094952 -0.000001073523 0.000000327051 -110.056309033352 4.782720803166 13.276715765738 0.567040649186 -10.398070551901 3.775951498890 -13.932902970913 0.613301221869 -178068.539718087850 21579.605400330795 50.133268691527 12.840188823630 0.728068878069
Mg    1     5712.6 0.074118643812 0.005092132917 -0.000004146696 0.000000439405 -74.264918608848 6.425752382567 8.276237818615 0.761838919802 -47.975119493376 5.073120492933 -9.734647195160 0.823991309506 129053.097402858039 28992.940087836832 -124.341997565504 17.251256201183 0.978185950626
